DatasetIdentifier,DatasetDescriber,DatasetTitle,DatasetDescription,DataLandingPageURL,NotAccessibleData,InProgressDataDate,EVDescription,IndicatorDescription,SourceDatasetIdentifier,DataProviderAgent,DataContactAgent,FunderAgent,DataContributorAgents,Licence,DatasetCitation,Keywords,DataTypes,DatasetVersion,DataStartDate,DataEndDate,SpatialCoverageMarineRegion,SpatialCoverageWKT,CoordinateProjection,TaxonomicCoverage,VariablesMeasured,RelevantCitations
Task511_dataset1,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2194,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset2,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2196,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset3,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2452,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset4,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2453,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset5,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2454,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset6,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2455,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset7,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2457,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset8,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2458,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset9,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2459,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset10,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2463,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset11,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2466,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset12,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2467,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset13,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2695,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset14,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2706,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset15,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2770,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset16,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2778,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset17,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2968,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset18,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2969,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset19,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4044,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset20,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4412,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset21,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4436,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset22,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4437,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset23,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4438,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset24,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4443,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset25,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4447,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset26,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4448,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset27,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4449,,,,,,,,,,,,,,,,,,,,,,
Task511_dataset28,CCB,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4450,,,,,,,,,,,,,,,,,,,,,,
